NAME,CZ,LOGMSTAR,LOGMH,RADEG,DEDEG,GRPCZ,CCR,CCB
ECO00001,6454.9,10.73,12.17,139.374,25.966,6454.9,1.01,1.0
ECO00002,4338.9,9.37,11.21,185.078,8.533,4293.3,1.13,1.0
ECO00003,5443.5,8.19,11.14,144.112,9.606,5425.4,1.45,1.0
ECO00004,6374.6,8.45,10.77,144.992,9.179,6374.6,1.43,1.0
ECO00005,5713.0,8.79,10.77,145.612,10.219,5713.0,1.32,1.0
ECO00006,6962.2,8.31,10.77,148.788,5.728,6962.2,1.48,1.0
ECO00007,5230.4,8.39,10.76,149.419,10.124,5230.4,1.58,1.0
ECO00008,4580.1,8.43,10.76,155.82,9.225,4580.1,1.53,1.0
ECO00009,6383.6,8.57,10.75,160.641,10.622,6383.6,1.52,1.0
ECO00010,4580.4,8.51,10.78,185.603,9.488,4580.4,1.45,1.0
ECO00011,5824.9,9.09,10.85,160.75,11.073,5824.9,1.18,1.0
ECO00012,6141.2,8.69,11.14,162.755,12.26,6163.8,1.47,1.0
ECO00013,6613.3,8.53,10.78,163.182,7.447,6613.3,1.45,1.0
ECO00014,6425.6,8.61,10.78,164.61,6.546,6425.6,1.47,1.0
ECO00015,6651.7,8.55,10.77,166.903,5.56,6651.7,1.5,1.0
ECO00016,5850.1,8.65,11.24,169.1,11.103,5803.2,1.35,1.0
ECO00017,6137.8,8.39,10.77,169.37,11.714,6137.8,1.42,1.0
ECO00018,6132.3,8.65,10.78,169.854,11.408,6132.3,1.48,1.0
ECO00019,4105.3,8.65,10.81,186.609,6.708,4105.3,1.36,1.0
ECO00020,4345.7,8.23,10.76,170.487,10.499,4345.7,1.49,1.0
ECO00021,6250.7,8.63,12.89,175.882,8.909,6288.2,1.52,1.0
ECO00022,6083.2,8.65,10.76,175.93,11.151,6083.2,1.52,1.0
ECO00023,5906.5,8.39,10.76,176.267,10.911,5906.5,1.52,1.0
ECO00024,6376.0,8.67,10.82,177.383,10.601,6376.0,1.33,1.0
ECO00025,3051.6,8.65,10.85,178.854,10.201,3051.6,1.23,1.0
ECO00026,6110.2,8.85,14.45,194.998,27.941,6589.0,1.13,1.42
ECO00027,4423.7,8.41,10.75,182.318,10.948,4423.7,1.48,1.0
ECO00028,6888.4,8.23,10.76,184.446,4.783,6888.4,1.57,1.0
ECO00029,6442.1,8.25,10.9,193.04,15.082,6406.9,1.5,1.0
ECO00030,6915.2,8.35,10.77,201.816,4.209,6915.2,1.41,1.0
ECO00031,6839.0,8.49,10.9,204.262,4.93,6839.0,1.11,1.0
ECO00032,6528.1,8.49,10.77,204.726,4.131,6528.1,1.5,1.0
ECO00033,6757.5,8.69,12.13,205.177,4.813,6787.3,1.34,1.0
ECO00034,6789.8,8.31,11.11,209.232,11.375,6669.0,1.52,1.0
ECO00035,3379.1,8.47,10.78,234.194,7.834,3379.1,1.37,1.0
ECO00036,4599.4,8.31,10.76,211.427,12.074,4599.4,1.52,1.0
ECO00037,4199.6,8.25,10.75,212.073,12.468,4199.6,1.5,1.0
ECO00038,5710.7,8.47,10.76,145.59,5.996,5710.7,1.55,1.0
ECO00039,5533.4,8.35,10.81,140.383,11.347,5533.4,1.42,1.0
ECO00040,5067.3,8.35,10.81,146.46,8.91,5067.3,1.43,1.0
ECO00041,6395.9,8.75,10.81,149.448,4.521,6395.9,1.29,1.0
ECO00042,6532.7,8.47,10.77,165.475,4.047,6532.7,1.49,1.0
ECO00043,6014.8,8.63,10.83,166.673,4.444,6014.8,1.29,1.0
ECO00044,5802.6,8.51,11.07,169.279,12.925,5859.9,1.45,1.0
ECO00045,6382.4,8.47,10.74,176.094,13.01,6382.4,1.55,1.0
ECO00046,6842.3,9.07,14.45,195.219,27.805,6589.0,1.06,1.42
ECO00047,6355.4,8.51,10.83,177.947,11.821,6355.4,1.3,1.0
ECO00048,5530.5,8.53,10.78,180.652,4.55,5530.5,1.47,1.0
ECO00049,4661.0,8.51,10.77,184.566,11.227,4661.0,1.51,1.0
ECO00050,6843.5,8.55,11.33,205.644,4.529,6798.5,1.45,1.0
ECO00051,6812.4,8.49,10.79,206.528,12.038,6812.4,1.47,1.0
ECO00052,6853.7,8.61,10.78,207.008,10.951,6853.7,1.44,1.0
ECO00053,6208.7,8.69,10.78,175.806,12.495,6208.7,1.45,1.0
ECO00054,6810.3,8.27,10.77,154.889,13.04,6810.3,1.56,1.0
ECO00055,5295.7,8.59,10.78,160.037,9.275,5295.7,1.5,1.0
ECO00056,5914.2,8.91,12.08,194.852,27.517,6017.0,1.25,1.0
ECO00057,6759.1,8.35,11.03,167.324,5.093,6712.5,1.2,1.0
ECO00058,6295.6,8.51,10.78,184.793,9.814,6295.6,1.41,1.0
ECO00059,3065.7,8.67,11.03,172.297,11.866,3090.3,1.12,1.0
ECO00060,6089.2,8.31,10.79,143.793,25.124,6089.2,1.46,1.0
ECO00061,6585.9,8.33,10.78,148.822,24.928,6585.9,1.51,1.0
ECO00062,6627.1,8.43,10.77,149.134,24.858,6627.1,1.52,1.0
ECO00063,6424.8,8.51,10.75,150.563,25.926,6424.8,1.45,1.0
